2021-07-14 17:15:24.477 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid server:
2021-07-14 17:39:51.234 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid servlet:
2021-07-14 17:39:51.234 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid context-path: /archives/
2021-07-14 17:39:51.234 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid spring:
2021-07-14 17:39:51.235 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid datasource:
2021-07-14 17:39:51.235 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid driver-class-name: com.mysql.cj.jdbc.Driver
2021-07-14 17:39:51.235 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid username: root
2021-07-14 17:39:51.235 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid password: root
2021-07-14 17:39:51.235 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid logging:
2021-07-14 17:39:51.235 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid level:
2021-07-14 17:39:51.235 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid com.nantian: debug
2021-07-14 17:39:51.239 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server.properties] & group[DEFAULT_GROUP]
2021-07-14 17:39:51.241 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server-dev.properties] & group[DEFAULT_GROUP]
2021-07-14 17:39:53.429 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-14 17:39:53.432 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
