2021-07-15 09:06:36.512 [main] WARN  com.alibaba.nacos.client.config.NacosConfigService - [fixed-localhost_8848] [get-config] get from server error, dataId=archives-server, group=DEFAULT_GROUP, tenant=, msg=ErrCode:500, ErrMsg:no available server
2021-07-15 09:40:36.787 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid password: root
2021-07-15 09:40:36.788 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid logging:
2021-07-15 09:40:36.788 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid level:
2021-07-15 09:40:36.788 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid com.nantian: debug
2021-07-15 09:40:36.792 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server.properties] & group[DEFAULT_GROUP]
2021-07-15 09:40:36.794 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server-dev.properties] & group[DEFAULT_GROUP]
2021-07-15 09:40:38.901 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 09:40:38.905 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 09:42:38.321 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid server:
2021-07-15 09:42:38.321 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid port: 8014
2021-07-15 09:42:38.321 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid servlet:
2021-07-15 09:42:38.321 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid context-path: /archives/
2021-07-15 09:42:38.321 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid spring:
2021-07-15 09:42:38.321 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid datasource:
2021-07-15 09:42:38.322 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid driver-class-name: com.mysql.cj.jdbc.Driver
2021-07-15 09:42:38.322 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid username: root
2021-07-15 09:42:38.322 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid password: root
2021-07-15 09:42:38.322 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid logging:
2021-07-15 09:42:38.322 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid level:
2021-07-15 09:42:38.322 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid com.nantian: debug
2021-07-15 09:42:38.325 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server.properties] & group[DEFAULT_GROUP]
2021-07-15 09:42:38.327 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server-dev.properties] & group[DEFAULT_GROUP]
2021-07-15 09:42:40.403 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 09:42:40.408 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 09:43:35.707 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid server:
2021-07-15 09:43:35.707 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid port: 8014
2021-07-15 09:43:35.707 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid servlet:
2021-07-15 09:43:35.707 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid context-path: /archives/
2021-07-15 09:43:35.707 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid spring:
2021-07-15 09:43:35.708 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid datasource:
2021-07-15 09:43:35.708 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid driver-class-name: com.mysql.cj.jdbc.Driver
2021-07-15 09:43:35.708 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid username: root
2021-07-15 09:43:35.708 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid password: root
2021-07-15 09:43:35.708 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid logging:
2021-07-15 09:43:35.708 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid level:
2021-07-15 09:43:35.708 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid com.nantian: debug
2021-07-15 09:43:35.712 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server.properties] & group[DEFAULT_GROUP]
2021-07-15 09:43:35.714 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server-dev.properties] & group[DEFAULT_GROUP]
2021-07-15 09:43:37.847 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 09:43:37.850 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 11:14:23.510 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid server:
2021-07-15 11:14:23.510 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid port: 8014
2021-07-15 11:14:23.510 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid servlet:
2021-07-15 11:14:23.510 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid context-path: /archives/
2021-07-15 11:14:23.510 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid spring:
2021-07-15 11:14:23.510 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid datasource:
2021-07-15 11:14:23.510 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid driver-class-name: com.mysql.cj.jdbc.Driver
2021-07-15 11:14:23.510 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid username: root
2021-07-15 11:14:23.510 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid password: root
2021-07-15 11:14:23.511 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid logging:
2021-07-15 11:14:23.511 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid level:
2021-07-15 11:14:23.511 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid com.nantian: debug
2021-07-15 11:14:23.514 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server.properties] & group[DEFAULT_GROUP]
2021-07-15 11:14:23.516 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server-dev.properties] & group[DEFAULT_GROUP]
2021-07-15 11:14:25.747 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 11:14:25.750 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 11:19:04.547 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid server:
2021-07-15 11:19:04.547 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid port: 8014
2021-07-15 11:19:04.547 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid servlet:
2021-07-15 11:19:04.547 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid context-path: /archives/
2021-07-15 11:19:04.547 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid spring:
2021-07-15 11:19:04.547 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid datasource:
2021-07-15 11:19:04.547 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid driver-class-name: com.mysql.cj.jdbc.Driver
2021-07-15 11:19:04.548 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid username: root
2021-07-15 11:19:04.548 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid password: root
2021-07-15 11:19:04.548 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid logging:
2021-07-15 11:19:04.548 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid level:
2021-07-15 11:19:04.548 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid com.nantian: debug
2021-07-15 11:19:04.552 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server.properties] & group[DEFAULT_GROUP]
2021-07-15 11:19:04.553 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server-dev.properties] & group[DEFAULT_GROUP]
2021-07-15 11:19:06.574 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 11:19:06.576 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 11:19:50.796 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid server:
2021-07-15 11:19:50.796 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid port: 8014
2021-07-15 11:19:50.796 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid servlet:
2021-07-15 11:19:50.797 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid context-path: /archives/
2021-07-15 11:19:50.797 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid spring:
2021-07-15 11:19:50.797 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid datasource:
2021-07-15 11:19:50.797 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid driver-class-name: com.mysql.cj.jdbc.Driver
2021-07-15 11:19:50.797 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid username: root
2021-07-15 11:19:50.797 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid password: root
2021-07-15 11:19:50.797 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid logging:
2021-07-15 11:19:50.797 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid level:
2021-07-15 11:19:50.797 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid com.nantian: debug
2021-07-15 11:19:50.802 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server.properties] & group[DEFAULT_GROUP]
2021-07-15 11:19:50.805 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server-dev.properties] & group[DEFAULT_GROUP]
2021-07-15 11:19:53.222 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 11:19:53.225 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
